Id,SalePrice
1461,86894
1462,84051
1463,166435
1464,184677
1465,181415
1466,178069
1467,185765
1468,170598
1469,189014
1470,104991
1471,177163
1472,106148
1473,90077
1474,151866
1475,106324
1476,348850
1477,236237
1478,314677
1479,307698
1480,428063
1481,276915
1482,206098
1483,174997
1484,168344
1485,203607
1486,214752
1487,305899
1488,250277
1489,189255
1490,234689
1491,218042
1492,80633
1493,215024
1494,298027
1495,269384
1496,244334
1497,176365
1498,180389
1499,147293
1500,170803
1501,210868
1502,153559
1503,283398
1504,243808
1505,213881
1506,206827
1507,240432
1508,194264
1509,153028
1510,142013
1511,156956
1512,183737
1513,167334
1514,144576
1515,210445
1516,168714
1517,150601
1518,110679
1519,220960
1520,132274
1521,121951
1522,191485
1523,100192
1524,122277
1525,87239
1526,86075
1527,85035
1528,134518
1529,126791
1530,200052
1531,169510
1532,112756
1533,184723
1534,143945
1535,147320
1536,102421
1537,47303
1538,161452
1539,237596
1540,111353
1541,142437
1542,119585
1543,166998
1544,91699
1545,108867
1546,140682
1547,144194
1548,128820
1549,108210
1550,142054
1551,128615
1552,152315
1553,159844
1554,120590
1555,157371
1556,124065
1557,110121
1558,116523
1559,89473
1560,144483
1561,132791
1562,135844
1563,115115
1564,161122
1565,114618
1566,234447
1567,78765
1568,241243
1569,117926
1570,134256
1571,69007
1572,130394
1573,238775
1574,122474
1575,232530
1576,252974
1577,184651
1578,162407
1579,112197
1580,188767
1581,163683
1582,126485
1583,281676
1584,223103
1585,149402
1586,58753
1587,105544
1588,145746
1589,114159
1590,124142
1591,79411
1592,125449
1593,129910
1594,159383
1595,116361
1596,207989
1597,158308
1598,193702
1599,188945
1600,186451
1601,33490
1602,104743
1603,50502
1604,270954
1605,246023
1606,157539
1607,156896
1608,226247
1609,185017
1610,150866
1611,128120
1612,186862
1613,150181
1614,134101
1615,85950
1616,63230
1617,71409
1618,101301
1619,145327
1620,154339
1621,128949
1622,166504
1623,254505
1624,213736
1625,114623
1626,186878
1627,174690
1628,284667
1629,172413
1630,305606
1631,206061
1632,215747
1633,181046
1634,193051
1635,197210
1636,162902
1637,196367
1638,219854
1639,168790
1640,264877
1641,169381
1642,260655
1643,222191
1644,202735
1645,234745
1646,170885
1647,151288
1648,135508
1649,141793
1650,104599
1651,99972
1652,107524
1653,103258
1654,149386
1655,143129
1656,143826
1657,148423
1658,156112
1659,99398
1660,142510
1661,424566
1662,340079
1663,369056
1664,434409
1665,315806
1666,297943
1667,347054
1668,355104
1669,311936
1670,342795
1671,252687
1672,381252
1673,289582
1674,248754
1675,199090
1676,203839
1677,197956
1678,419288
1679,346402
1680,321598
1681,282775
1682,285665
1683,183391
1684,192435
1685,207161
1686,175035
1687,191476
1688,213563
1689,214583
1690,216356
1691,205964
1692,273524
1693,186380
1694,188390
1695,161124
1696,270064
1697,164899
1698,301517
1699,331465
1700,242146
1701,272060
1702,246564
1703,241330
1704,268857
1705,272366
1706,398561
1707,212454
1708,204847
1709,255798
1710,218587
1711,287977
1712,252006
1713,262309
1714,198465
1715,217767
1716,170187
1717,177436
1718,135280
1719,215857
1720,253024
1721,165659
1722,125733
1723,156656
1724,213029
1725,247423
1726,205176
1727,153353
1728,198680
1729,172267
1730,165064
1731,133990
1732,119871
1733,94277
1734,111936
1735,147648
1736,86874
1737,293211
1738,204816
1739,272350
1740,200335
1741,180588
1742,192436
1743,199424
1744,310420
1745,205315
1746,216406
1747,204064
1748,233925
1749,154021
1750,136341
1751,266847
1752,100399
1753,155214
1754,206864
1755,186381
1756,148256
1757,109803
1758,151342
1759,151204
1760,142753
1761,157966
1762,185073
1763,185239
1764,75619
1765,171522
1766,191375
1767,226080
1768,138323
1769,169428
1770,175041
1771,92508
1772,128625
1773,112155
1774,145625
1775,147580
1776,134008
1777,112861
1778,148543
1779,130078
1780,172920
1781,113238
1782,63701
1783,141982
1784,108566
1785,138192
1786,113463
1787,182142
1788,91980
1789,106207
1790,39468
1791,206751
1792,148956
1793,136053
1794,178709
1795,128881
1796,132525
1797,139291
1798,115432
1799,74752
1800,119079
1801,115861
1802,122375
1803,161446
1804,149748
1805,140083
1806,133010
1807,152045
1808,122137
1809,122781
1810,146755
1811,139430
1812,128316
1813,116953
1814,108706
1815,40716
1816,119477
1817,142061
1818,200645
1819,147803
1820,62310
1821,122462
1822,166414
1823,74056
1824,129839
1825,128834
1826,104874
1827,77930
1828,133556
1829,163324
1830,156676
1831,147174
1832,82928
1833,149240
1834,121564
1835,109595
1836,122804
1837,105879
1838,74273
1839,136905
1840,150126
1841,108491
1842,90651
1843,112599
1844,133987
1845,121058
1846,150607
1847,152106
1848,45312
1849,124942
1850,114808
1851,151014
1852,120103
1853,114101
1854,153244
1855,150198
1856,219422
1857,135168
1858,147037
1859,104189
1860,143349
1861,103268
1862,317053
1863,316898
1864,316894
1865,339129
1866,348379
1867,226313
1868,304336
1869,210915
1870,228626
1871,253488
1872,197132
1873,231309
1874,126968
1875,183291
1876,186503
1877,206239
1878,201992
1879,114513
1880,111611
1881,235096
1882,255716
1883,185486
1884,200259
1885,228350
1886,281643
1887,224049
1888,259166
1889,172013
1890,92935
1891,117340
1892,79291
1893,131108
1894,109871
1895,129631
1896,123813
1897,99905
1898,102322
1899,154305
1900,133501
1901,154554
1902,104783
1903,190955
1904,111487
1905,184307
1906,139681
1907,182194
1908,104307
1909,153343
1910,128226
1911,186917
1912,260897
1913,153533
1914,60657
1915,319133
1916,57079
1917,232838
1918,121761
1919,160177
1920,160631
1921,353157
1922,325634
1923,218793
1924,196768
1925,218199
1926,364751
1927,127428
1928,168252
1929,97053
1930,106172
1931,122915
1932,131749
1933,178274
1934,163800
1935,166727
1936,183475
1937,176735
1938,191253
1939,233939
1940,182910
1941,167890
1942,201228
1943,203749
1944,326801
1945,357524
1946,186540
1947,299454
1948,171342
1949,261340
1950,202815
1951,274421
1952,215232
1953,212003
1954,194802
1955,115486
1956,336840
1957,149717
1958,293357
1959,133040
1960,106625
1961,113024
1962,88871
1963,101006
1964,102905
1965,139576
1966,141653
1967,279525
1968,356336
1969,365267
1970,358000
1971,433196
1972,353066
1973,304995
1974,328376
1975,433233
1976,263508
1977,342032
1978,307785
1979,319552
1980,164726
1981,337228
1982,210382
1983,195792
1984,186013
1985,215832
1986,209272
1987,191444
1988,191201
1989,211180
1990,230886
1991,210733
1992,242968
1993,177736
1994,234540
1995,180844
1996,294909
1997,317777
1998,277210
1999,271166
2000,310479
2001,293089
2002,255810
2003,261545
2004,292233
2005,225197
2006,203809
2007,255384
2008,221439
2009,189920
2010,214702
2011,144376
2012,177736
2013,189072
2014,206988
2015,210942
2016,200934
2017,204989
2018,92743
2019,119660
2020,66779
2021,99561
2022,173670
2023,139048
2024,299896
2025,328125
2026,173741
2027,162614
2028,158332
2029,172764
2030,275083
2031,236221
2032,260955
2033,261390
2034,183401
2035,212835
2036,222388
2037,228532
2038,316221
2039,212199
2040,342429
2041,285645
2042,192133
2043,170839
2044,166042
2045,180431
2046,121644
2047,134403
2048,148621
2049,121452
2050,179114
2051,119728
2052,126142
2053,135385
2054,77474
2055,177366
2056,145159
2057,105294
2058,214774
2059,110710
2060,165604
2061,173338
2062,105929
2063,119739
2064,106096
2065,123623
2066,167605
2067,117379
2068,115721
2069,78900
2070,103599
2071,73158
2072,142968
2073,126537
2074,126903
2075,132775
2076,127619
2077,137827
2078,97516
2079,143493
2080,114328
2081,117585
2082,101281
2083,143931
2084,93035
2085,102187
2086,94948
2087,125672
2088,82555
2089,81160
2090,126870
2091,68100
2092,137968
2093,162933
2094,121817
2095,123939
2096,87242
2097,130621
2098,147157
2099,16090
2100,55456
2101,103579
2102,133540
2103,77500
2104,142977
2105,159996
2106,63665
2107,200354
2108,125603
2109,84407
2110,82848
2111,129187
2112,125261
2113,111133
2114,105576
2115,150917
2116,87977
2117,118602
2118,108210
2119,101193
2120,127152
2121,87747
2122,95361
2123,77804
2124,165812
2125,146455
2126,142669
2127,167950
2128,156753
2129,56788
2130,124923
2131,116159
2132,115569
2133,112187
2134,127532
2135,111510
2136,50337
2137,91832
2138,146623
2139,140757
2140,134429
2141,155205
2142,117312
2143,128779
2144,88182
2145,127631
2146,158518
2147,129720
2148,154118
2149,169608
2150,212865
2151,122775
2152,173417
2153,191747
2154,103706
2155,130789
2156,267581
2157,225669
2158,233491
2159,224989
2160,191928
2161,250311
2162,341986
2163,365769
2164,239972
2165,162346
2166,144403
2167,204229
2168,192602
2169,202888
2170,191460
2171,159087
2172,133373
2173,150418
